Mission ID,Mission Name Short,Mission Name Full,Mission Agencies,Mission Status,Launch Date,EOL Date,Applications,Instruments,Instrument IDs,Orbit Type,Orbit Altitude,Orbit Period,Orbit Inclination,Repeat Cycle,Orbit LST,Orbit Longitude,Orbit Sense,Mission Site,Data Access Portal
730,ePOP on CASSIOPE,"Enhanced Polar Outflow Probe on the CAScade, Smallsat and IOnospheric Polar Explorer","CSA, MDA, University of Calgary",Operational (extended),29-Sep-13,Apr-24,"The ePOP probe observes the Earthâ€™s ionosphere, where space meets the upper atmosphere. The instruments are used in conjunction with other satellite-based and ground-based instruments to analyze radio wave propagation in the ionosphere, measure the densities of ionized particles, and observe the aurora from space, all as they respond to space weather. The orbit is 450 km to 1250 km. Note: MDA is the owner and University of Calgary is the operator.","CER, FAI, GAP, IRM, MGF, NMS, RRI, SEI","1656, 1705, 1707, 1708, 1709, 1710, 1706, 1704","Inclined, non-sun-synchronous",450 km,101 mins,81 deg,,,,N/A,http://epop.phys.ucalgary.ca/,https://epop.phys.ucalgary.ca/data/
836,FLEX,Fluorescence Explorer,ESA,Approved,Mar-25,Mar-28,Mapping vegetation fluorescence to quantify photosynthetic activity.,FLORIS,1778,Sun-synchronous,815 km,,,,,,Ascending,https://earth.esa.int/web/guest/missions/esa-future-missions/flex,
1046,FORUM,FORUM,ESA,Approved,Jul-27,Dec-31,"Earth observation mission to measure infrared radiation from the Earth for the first time, will give scientists and climatologists the data they need to improve their global warming forecasts.",Fourier Transform Spectrometer,2026,Sun-synchronous,824 km,101.4 mins,98.7 deg,29,09:30:00,,Descending,,
700,FY-2G,FY-2G Geostationary Meteorological Satellite,"NSMC-CMA, NRSCC",Operational (extended),31-Dec-14,Dec-23,Meteorology and environmental monitoring; data collection and redistribution.,,,Geostationary,36000 km,,,,,,N/A,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
701,FY-2H,FY-2H Geostationary Meteorological Satellite,"NSMC-CMA, NRSCC",Operational (nominal),05-Jun-18,Dec-23,Meteorology and environmental monitoring; data collection and redistribution.,,,Geostationary,36000 km,,,,,,N/A,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
368,FY-3C,FY-3C Polar-orbiting Meteorological Satellite,"NSMC-CMA, NRSCC",Operational (extended),23-Sep-13,Dec-23,"Meteorology and environmental monitoring; data collection and redistribution. (Operational follow-on to FY-3B). FY-3C suffered a problem on May 30th 2015 and has recovered gradually over time. At present, 10 of 12 onboard instruments are back in operation.","ERM, GNOS, IRAS, MERSI, MWHS-2, MWRI, MWTS-2, SES, SIM-2, TOU/SBUS, VIRR","884, 1619, 666, 893, 1621, 672, 668, 1624, 1632, 906, 684",Sun-synchronous,830 km,101 mins,98.753 deg,,10:00,,Descending,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
369,FY-3D,FY-3D Polar-orbiting Meteorological Satellite,"NSMC-CMA, NRSCC",Operational (nominal),15-Nov-17,Dec-23,Meteorology and environmental monitoring; data collection and redistribution.,"ASI, GAS, GNOS, HIRAS, MERSI-2, MWHS-2, MWRI, MWTS-2, SES, SWS/SEM/HEPD, SWS/SEM/IMSÂ , WAI","1616, 1618, 1619, 670, 1620, 1621, 672, 668, 1624, 1950, 1951, 1850",Sun-synchronous,830 km,101 mins,98.753 deg,,14:00,,Ascending,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
370,FY-3E,FY-3E Polar-orbiting Meteorological Satellite,"NSMC-CMA, NRSCC",Operational (nominal),05-Jul-21,Dec-26,Meteorology and environmental monitoring; data collection and redistribution.,"ASI, ERM-2, GNOS, HIRAS, MERSI-LL, MWHS-2, MWTS-2, SES, SIM-2, SSIM, SWS/SEM/HEPD, SWS/SEM/IMSÂ , SWS/Tri-IPMÂ , WindRAD","1616, 1617, 1619, 670, 1947, 1621, 668, 1624, 1632, 1949, 1950, 1951, 1952, 1625",Sun-synchronous,830 km,101 mins,98.753 deg,,10:00,,Descending,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
371,FY-3F,FY-3F Polar-orbiting Meteorological Satellite,"NSMC-CMA, NRSCC",Approved,Dec-23,Dec-28,Meteorology and environmental monitoring; data collection and redistribution.,"ASI, GAS, GNOS, HIRAS, MERSI-3, MVIRS, MWHS-2, MWRI, MWTS-2, SES","1616, 1618, 1619, 670, 1946, 671, 1621, 672, 668, 1624",Sun-synchronous,830 km,101 mins,98.753 deg,,14:00,,Ascending,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
823,FY-3H,FY-3H Polar-orbiting Meteorological Satellite,"NSMC-CMA, NRSCC",Planned,2024,2029,Meteorology and environmental monitoring; data collection and redistribution.,"ASI, ERM-2, GAS, GNOS, HIRAS, MERSI-3, MVIRS, MWHS-2, MWTS-2, OMS, SIM-2, WindRAD","1616, 1617, 1618, 1619, 670, 1946, 671, 1621, 668, 1623, 1632, 1625",Sun-synchronous,,,,,10:00,,Descending,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
979,FY-3I,FY-3I Polar-orbiting Meteorological Satellite,"NSMC-CMA, NRSCC",Planned,2024,2029,Meteorology and environmental monitoring; data collection and redistribution.,"ASI, GNOS, HIRAS, MERSI-LL, MVIRS, MWHS-2, MWTS-2, OMS, SIM-2, SSIM, SWS/SEM/HEPD, SWS/SEM/IMSÂ , SWS/Tri-IPMÂ , WindRAD","1616, 1619, 670, 1947, 671, 1621, 668, 1623, 1632, 1949, 1950, 1951, 1952, 1625",Sun-synchronous,,,,,10:00,,Descending,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,
800,FY-3RM-1,FY-3 Rainfall Mission 1,NSMC-CMA,Approved,Dec-23,Dec-28,Rainfall measurement.,"GNOS, MERSI-S, MWRI, PR","1619, 1759, 672, 1761",,,,,,,,,,
946,FY-3RM-2,FY-3 Rainfall Mission 2,NSMC-CMA,Planned,2025,2030,Rainfall measurement.,"GNOS, MERSI-S, MWRI, PR","1619, 1759, 672, 1761",,,,,,,,,,
532,FY-4A,FY-4A Geostationary Meteorological Satellite,"NSMC-CMA, NRSCC",Operational (nominal),11-Dec-16,Dec-23,Meteorology and environmental monitoring; data collection and redistribution.,"AGRI, GIIRS, LMI, SEMIP/SEM","892, 1779, 891, 1780",Geostationary,36000 km,,,,,-105,N/A,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
533,FY-4B,FY-4B Geostationary Meteorological Satellite,"NSMC-CMA, NRSCC",Operational (nominal),03-Jun-21,Dec-28,Meteorology and environmental monitoring; data collection and redistribution.,"AGRI, GIIRS, LMI, SEMIP/SEM","892, 1779, 891, 1780",Geostationary,36000 km,,,,,-105,N/A,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
534,FY-4C,FY-4C Geostationary Meteorological Satellite,"NSMC-CMA, NRSCC",Planned,2025,2032,Meteorology and environmental monitoring; data collection and redistribution.,"AGRI, GIIRS, LMI, SEMIP/SEM","892, 1779, 891, 1780",Geostationary,36000 km,,,,,-105,N/A,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
535,FY-4D,FY-4D Geostationary Meteorological Satellite,"NSMC-CMA, NRSCC",Planned,2026,2033,Meteorology and environmental monitoring; data collection and redistribution.,"AGRI, GIIRS, LMI, SEMIP/SEM","892, 1779, 891, 1780",Geostationary,36000 km,,,,,-105,N/A,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
536,FY-4E,FY-4E Geostationary Meteorological Satellite,"NSMC-CMA, NRSCC",Planned,2027,2034,Meteorology and environmental monitoring; data collection and redistribution.,"AGRI, GIIRS, LMI, SEMIP/SEM","892, 1779, 891, 1780",Geostationary,36000 km,,,,,-105,N/A,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
824,FY-4F,FY-4F Geostationary Meteorological Satellite,"NSMC-CMA, NRSCC",Planned,2030,2037,Meteorology and environmental monitoring; data collection and redistribution.,"AGRI, GIIRS, LMI, SEMIP/SEM","892, 1779, 891, 1780",Geostationary,36000 km,,,,,-105,N/A,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
825,FY-4G,FY-4G Geostationary Meteorological Satellite,"NSMC-CMA, NRSCC",Planned,2033,2040,Meteorology and environmental monitoring; data collection and redistribution.,"AGRI, GIIRS, LMI, SEMIP/SEM","892, 1779, 891, 1780",Geostationary,36000 km,,,,,-105,N/A,http://www.nsmc.cma.gov.cn/en/NSMC/Channels/outline.html,http://satellite.cma.gov.cn/PortalSite/Default.aspx
360,GCOM-C,Global Change Observation Mission-Climate,JAXA,Operational (nominal),23-Dec-17,Dec-23,Understanding of climate change mechanism.,SGLI,901,Sun-synchronous,798 km,101 mins,98.6 deg,34,10:30,,Descending,https://global.jaxa.jp/projects/sat/gcom_c/,https://gportal.jaxa.jp/gpr/?lang=en
459,GCOM-W,Global Change Observation Mission-Water,JAXA,Operational (extended),18-May-12,Dec-23,Understanding of the water cycle mechanism.,AMSR-2,883,Sun-synchronous,700 km,98 mins,98.2 deg,16,13:30,,Ascending,https://global.jaxa.jp/projects/sat/gcom_w/ https://suzaku.eorc.jaxa.jp/GCOM_W/,https://gportal.jaxa.jp/gpr/?lang=en (standard product) https://suzaku.eorc.jaxa.jp/GCOM_W/research/resdist.html (research product)
766,GEDI-on-ISS,International Space Station/Global Ecosystem Dynamics Investigation (GEDI) Lidar,NASA,Operational (extended),05-Dec-18,Sep-23,"This project will use a laser-based system to study a range of climates, including the observation of the forest canopy structure over the tropics, and the tundra in high northern latitudes.This data will help scientists better understand the changes in natural carbon storage within the carbon cycle from both human-influenced activities and natural climate variations.",GEDI,1717,"Inclined, non-sun-synchronous",417 km,93 mins,51.6 deg,,,,Ascending,https://science.nasa.gov/missions/gedi,https://earthdata.nasa.gov/eosdis/daacs/lpdaac
842,GeoCarb,Geostationary Carbon Cycle Observatory,NASA,Approved,Jun-25,Jun-28,"The GeoCarb mission provides persistent daytime measurements from a geostationary orbit (85° West +/- 10°) of the concentration of carbon dioxide (CO2), methane (CH4), carbon monoxide (CO), and it also provides measurements of solar-induced fluorescence (SIF). By measuring daily over the Americans (55° N/S Latitude) CO2, CH4, and CO concentrations and SIF under changing conditions at fine spatial scales roughly (5kmx5km), GeoCarb enables determination of major anthropogenic sources of CO2 and CH4 and breakthrough investigations of their natural sources and sinks. This provides the basis for a transformational improvement in our understanding of the carbon cycle, and it demonstrates an effective approach to monitoring CO2 and CH4, the two most important greenhouse gasses that is synergistic with measurements from Low Earth Orbit (LEO).",Scanning Spectrometer (GeoCarb),1784,Geostationary,35786 km,,,,,85,,https://www.ou.edu/geocarb,
525,GEO-KOMPSAT-2A,Geostationary Earth Orbit - Korea Multi-Purpose Sa,"KMA, Harris, KARI",Operational (nominal),04-Dec-18,Jul-29,Korea's geostationary meteorological satellite series.,Advanced MI,1575,Geostationary,35786 km,,,,,128.2,N/A,,
669,GEO-KOMPSAT-2B,Geostationary Korea Multi-Purpose Satellite-2B,"KARI, KIOST, NIER, BATC",Operational (nominal),18-Feb-20,Feb-30,Korea's geostationary oceanographic and environmental satellite.,"Advanced GOCI, GEMS","1574, 1583",Geostationary,35786 km,,,,,128.2,N/A,https://kosc.kiost.ac.kr,https://kosc.kiost.ac.kr
980,GeoXO1,Geostationary Extended Observations 1,NOAA,Considered,2033,2055,"GeoXO will supply vital information to address major environmental challenges of the future in support of U.S. weather, ocean, and climate operations. The GeoXO mission will continue and expand observations provided by the GOES-R Series as NOAA's next generation of geostationary satellites.",,,Geostationary,36000 km,,,,,,N/A,https://www.nesdis.noaa.gov/next-generation-satellites/geostationary-extended-observations-geoxo,
981,GeoXO2,Geostationary Extended Observations 2,NOAA,Considered,2036,2055,"GeoXO will supply vital information to address major environmental challenges of the future in support of U.S. weather, ocean, and climate operations. The GeoXO mission will continue and expand observations provided by the GOES-R Series as NOAA's next generation of geostationary satellites.",,,Geostationary,36000 km,,,,,,N/A,https://www.nesdis.noaa.gov/next-generation-satellites/geostationary-extended-observations-geoxo,
773,GF-1,Gaofen-1,CRESDA,Operational (extended),26-Apr-13,Dec-23,"Earth resources, environmental monitoring, land surface.","MUX (GF-1), PAN (GF-1), WFV","1726, 1728, 1730",Sun-synchronous,644 km,97.466 mins,97.9 deg,41,10:30,,Descending,http:/www.cresda.com/,
774,GF-2,Gaofen-2,CRESDA,Operational (extended),19-Aug-14,Dec-23,"Earth resources, environmental monitoring, land surface.","MUX (GF-2), PAN (GF-2)","1727, 1729",Sun-synchronous,631 km,97.196 mins,97.9 deg,69,10:30,,Descending,http://www.cresda.com/,
847,GF-3,Gaofen-3,CRESDA,Operational (nominal),10-Aug-16,Aug-24,"Earth resources, environmental monitoring, land surface.",C-SAR,1787,Sun-synchronous,755 km,,,,,,Descending,http://www.cresda.com/,
822,GF-4,Gaofen-4,"CRESDA, NSMC-CMA",Operational (nominal),29-Dec-15,Dec-23,"Earth resources, environmental monitoring, land surface.","MWIR (GF-4), VNIR (GF-4)","1775, 1776",Geostationary,36000 km,,0 deg,,,,,http://www.cresda.com/,
924,GLIMR,Geosynchronous Littoral Imaging and Monitoring Radiometer,NASA,Approved,Dec-26,Mar-30,"GLIMR will provide observations of rapidly evolving processes of phytoplankton physiology, growth and bloom evolution, and episodic and seasonal river-to-sea fluxes of materials. GLIMR will identify and track blooms of the harmful algae, Karenia brevis, and identify and track oil spills and seeps of sufficient size in the Gulf of Mexico and other selected coastal regions of North and South America.",GLIMR Instrument,1902,Geostationary,36000 km,,98 deg,,,,N/A,https://eospso.gsfc.nasa.gov/missions/geosynchronous-littoral-imaging-and-monitoring-radiometer-evi-5,
266,GOES-14,Geostationary Operational Environmental Satellite - 14,NOAA,Operational (extended),27-Jun-09,Apr-30,"Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering, WEFAX. GOES-14 was placed into on-orbit storage on February 13, 2013.","A-DCS4, DCS (GOES-R Series), GOES Comms, Imager, LRIT, S&R (GOES), SEM (GOES), Sounder, SXI","694, 954, 562, 331, 1501, 136, 637, 330, 141",Geostationary,36000 km,,,,,105,N/A,http://www.ospo.noaa.gov/Operations/GOES/index.html,
335,GOES-15,Geostationary Operational Environmental Satellite - 15,NOAA,Operational (extended),04-Mar-10,Dec-28,"Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering, WEFAX. GOES-15 was placed into on-orbit storage on August 9, 2020.","A-DCS4, DCS (GOES-R Series), GOES Comms, Imager, LRIT, S&R (GOES), SEM (GOES), Sounder, SXI","694, 954, 562, 331, 1501, 136, 637, 330, 141",Geostationary,36000 km,,,,,135,N/A,http://www.ospo.noaa.gov/Operations/GOES/index.html,
470,GOES-16,Geostationary Operational Environmental Satellite 16,"NOAA, NASA",Operational (nominal),19-Nov-16,Jan-34,"Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering.","ABI, DCS (GOES-R), EXIS, GLM, Magnetometer (NOAA), SEISS, SUVI","870, 954, 951, 877, 878, 952, 953",Geostationary,36000 km,,,,,,N/A,http://www.goes-r.gov/,
546,GOES-17,Geostationary Operational Environmental Satellite - 17,"NOAA, NASA",Operational (nominal),01-Mar-18,Oct-28,"Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering.","ABI, DCS (GOES-R), EXIS, GLM, Magnetometer (NOAA), SEISS, SUVI","870, 954, 951, 877, 878, 952, 953",Geostationary,36000 km,,,,,,N/A,http://www.goes-r.gov/,
727,GOES-18,Geostationary Operational Environmental Satellite - 18,"NOAA, NASA",Commissioning,01-Mar-22,Oct-35,"Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering.","ABI, DCS (GOES-R), EXIS, GLM, Magnetometer (NOAA), SEISS, SUVI","870, 954, 951, 877, 878, 952, 953",Geostationary,36000 km,,,,,,N/A,http://www.goes-r.gov/,
724,GOES-U,Geostationary Operational Environmental Satellite - U,"NOAA, NASA",Planned,2023,2034,"Meteorology (primary mission), search and rescue, space environment monitoring, data collection platform, data gathering.","ABI, CCOR, DCS (GOES-R Series), EXIS, GLM, Magnetometer (NOAA), SEISS, SUVI","870, 1892, 954, 951, 877, 878, 952, 953",Geostationary,36000 km,,,,,,N/A,http://www.goes-r.gov/,
917,GOMX4,GomSpace Express-4,"ESA, NSO",Operational (extended),02-Feb-18,Dec-22,"Demonstration of hyperspectral operations on a Cubesat. Demonstration of early warning capability leveraging heavy onboard processing for flooding, change detection, crop water factor, vegetation monitoring. Hyperspectral VNIR.",HyperScout,1890,Sun-synchronous,500 km,,,,14:00:00,,Descending,,
458,GOSAT,Greenhouse gases Observing SATellite,"JAXA, MOE (Japan), NIES (Japan)",Operational (extended),23-Jan-09,Dec-23,"Observation of greenhouse gases (CO2, CH4) and solar-induced chlorophyll fluorescence (SIF).","TANSO-CAI, TANSO-FTS","904, 905",Sun-synchronous,666 km,98.18 mins,98.06 deg,3,13:00,,Descending,https://www.eorc.jaxa.jp/GOSAT/index.html,https://data2.gosat.nies.go.jp/index_en.html https://www.eorc.jaxa.jp/GOSAT/index.html
721,GOSAT-2,Greenhouse gases Observing SATellite-2,"JAXA, MOE (Japan), NIES (Japan)",Operational (nominal),29-Oct-18,Dec-23,"Observation of greenhouse gases (CO2, CH4, CO) and solar-induced chlorophyll fluorescence (SIF).","TANSO-CAI-2, TANSO-FTS-2","1654, 1655",Sun-synchronous,613 km,98.18 mins,97.8 deg,6,13:00,,Descending,https://www.eorc.jaxa.jp/GOSAT/index.html,https://prdct.gosat-2.nies.go.jp/index.html.en https://www.eorc.jaxa.jp/GOSAT/index.html
862,GOSAT-GW,Global Observing SATellite for Greenhouse gases and Water cycle,"JAXA, MOE (Japan), NIES (Japan)",Approved,Mar-24,Mar-29,Observation of greenhouse gases and understanding of water cycle mechanisms,"AMSR-3, TANSO-FTS-3","1804, 1805",Sun-synchronous,666 km,98.18 mins,98.06 deg,3,13:30,,Ascending,,
1045,Goumang,Goumang,CAST,Operational (nominal),04-Aug-22,Aug-28,Goumang is a terrestrial ecosystem carbon monitoring satellite.,"Hyperspectral Detector, Laser Radar, Multi-Angle Multi-Spectral Camera, Polarisation Imager","2024, 2022, 2023, 2025",Sun-synchronous,506 km,,,,,,,,
448,GPM Core,Global Precipitation Measurement Mission Core spacecraft,"NASA, JAXA",Operational (extended),27-Feb-14,Sep-26,"3-year nominal mission life, 5-year goal. Study of global precipitation, evaporation, and the water cycle. The mission comprises a primary spacecraft with active and passive microwave instruments, and a number of â€˜constellation spacecraft' with passive microwave instruments.","DPR, GMI","774, 773","Inclined, non-sun-synchronous",407 km,95 mins,65 deg,,,,TBD,https://gpm.nasa.gov/ https://www.eorc.jaxa.jp/GPM/,https://search.earthdata.nasa.gov/search?q=GPM Core
686,GRACE-FO,Gravity Recovery and Climate Experiment - Follow-on,"NASA, GFZ",Operational (nominal),22-May-18,May-23,"5-year nominal mission life, Extremely high precision gravity measurements for use in construction of gravity field models. GRACE-FO will consists of two satellites (A, B) serving one mission in the same manner as the original GRACE mission","LRI, MWI","1667, 1668","Inclined, non-sun-synchronous",500 km,98 mins,89 deg,,,,TBD,https://www.nasa.gov/missions/grace-fo,https://earthdata.nasa.gov/eosdis/daacs/podaac
1044,Harmony,Harmony,ESA,Approved,Dec-29,Dec-34,"The space segment consists of two companion satellites to S1, each carrying a receive-only SAR instrument, complemented by a TIR payload. The companion satellites fly in two different configurations with S1. In the stereo configuration, one companion is leading and the other is trailing S1. The optimum distance to S1 (stereo baseline) is determined from a complex trade-off on the performance of both instruments. One of the strongest drivers is the improved viewing geometry associated with large squint angles and both concepts therefore use a long baseline (350 km for Concept A and 400 km for Concept B). The Harmony orbit is dictated by the S1 orbit, which is a Sun-synchronous, frozen orbit with a repetition cycle of 12 days, during which 175 orbits are completed. Harmony is dedicated to the observation and quantification of smallscale motion and deformation (velocity gradient) fields, primarily, at the air-sea interface (winds, waves, and surface currents, including measurements over extreme events), of the solid Earth (tectonic strain), and in the cryosphere (glacier flows and surface height changes). Primary mission objectives: 1. Air-sea interaction, tropical and extra-tropical cyclones, and ocean mesoscale and submesocale processes; 2. Tectonic strain; and 3. Glacier and ice-sheet mass balance and glacier dynamics. Harmony will make significant contributions to other science domains, including volcanoes, permafrost, land-slides and several sea-ice objectives. These have been captured as secondary mission objectives and have been studied in some depth in the Phase 0 science studies.","Multiview Thermal-Infared, Synthetic Aperture Radar","2021, 2020",Sun-synchronous,693 km,98.74 mins,98.19 deg,12,18:00,,Ascending,,
728,Himawari-8,Himawari-8,JMA,Operational (nominal),07-Oct-14,Mar-30,"Meteorology, environmental monitoring, data collection platform","AHI, Himawari Comms, Himawari DCS","1651, 1652, 1653",Geostationary,36000 km,,,,,140.7,N/A,https://www.data.jma.go.jp/mscweb/en/support/support.html,https://www.data.jma.go.jp/mscweb/en/support/support.html
729,Himawari-9,Himawari-9,JMA,Operational (nominal),02-Nov-16,Mar-30,"Meteorology, environmental monitoring, data collection platform","AHI, Himawari Comms, Himawari DCS","1651, 1652, 1653",Geostationary,36000 km,,,,,140.7,N/A,https://www.data.jma.go.jp/mscweb/en/support/support.html,https://www.data.jma.go.jp/mscweb/en/support/support.html
465,HJ-1C,Huan Jing-1C,"CRESDA, CAST",Operational (extended),19-Nov-12,Dec-22,Disaster and environment monitoring and forecasting. Small satellite constellation.,S-Band SAR,826,"Inclined, non-sun-synchronous",499 km,,97.3 deg,31,06:00,,Descending,http:/www.cresda.com/,
947,HJ-2A,Huan Jing-2A,"CRESDA, CAST",Operational (nominal),27-Sep-20,Dec-25,Disaster and environment monitoring and forecasting. Small satellite constellation.,"CCD (HJ) Copy, HSI (HJ-1A) Copy, IR (HJ-1B) Copy","1911, 1909, 1910",Sun-synchronous,650 km,,97.9 deg,31,10:30,,Descending,http://www.cresda.com/,
948,HJ-2B,Huan Jing-2B,"CRESDA, CAST",Operational (nominal),27-Sep-20,Dec-25,Disaster and environment monitoring and forecasting. Small satellite constellation.,"CCD (HJ) Copy, HSI (HJ-1A) Copy, IR (HJ-1B) Copy","1911, 1909, 1910",Sun-synchronous,650 km,,97.9 deg,31,10:30,,Descending,http://www.cresda.com/,
762,HRWS SAR,High Resolution Wide Swath SAR,DLR,Planned,2029,2036,"Cartography, land surface, civil planning and mapping, digital terrain models, environmental monitoring, digital elevation models.",HRWS X-Band Digital Beamforming SAR,1696,Sun-synchronous,514 km,94.85 mins,97.4 deg,11,18:00,,Ascending,,
826,HY-1C,Ocean color satellite C,"NSOAS, CAST",Operational (nominal),07-Sep-18,Dec-24,Detecting ocean colour and sea surface temperature.,"COCTS, CZI","827, 828",Sun-synchronous,798 km,,98.6 deg,7,10:30,,Descending,http://www.cast.cn/,
827,HY-1D,Ocean color satellite D,"NSOAS, CAST",Operational (nominal),11-Jun-20,Dec-26,Detecting ocean colour and sea surface temperature.,"COCTS, CZI","827, 828",Sun-synchronous,798 km,,98.6 deg,7,10:30,,Descending,http://www.cast.cn/,
828,HY-1E,Ocean color satellite E,"NSOAS, CAST",Planned,2022,2028,Detecting ocean colour and sea surface temperature.,"COCTS, CZI","827, 828",Sun-synchronous,798 km,,98.6 deg,7,10:30,,Descending,http://www.cast.cn/,
829,HY-1F,Ocean color satellite F,"NSOAS, CAST",Planned,2024,2030,Detecting ocean colour and sea surface temperature.,"COCTS, CZI","827, 828",Sun-synchronous,798 km,,98.6 deg,7,10:30,,Descending,http://www.cast.cn/,
609,HY-2A,Ocean dynamics satellite A,"NSOAS, CAST",Operational (extended),16-Aug-11,Dec-22,"Detecting ocean surface temperature, wind field, wave and topography.","ALT, DORIS-NG, RAD, SCAT","973, 181, 967, 972",Sun-synchronous,963 km,104 mins,99.3 deg,14,06:00,,Descending,http://www.naoas.gov.cn/,
718,HY-2B,Ocean dynamics satellite B,"NSOAS, CAST",Operational (nominal),25-Oct-18,Dec-23,"Detecting ocean surface temperature, wind field, wave and topography.","ALT, RAD, SCAT","973, 967, 972",Sun-synchronous,963 km,,99.3 deg,14,06:00,,Descending,http://www.naoas.gov.cn/,
719,HY-2C,Ocean dynamics satellite C,"NSOAS, CAST",Operational (nominal),21-Sep-20,Dec-25,"Detecting ocean surface temperature, wind field, wave and topography.","ALT, RAD, SCAT","973, 967, 972","Inclined, non-sun-synchronous",957 km,,66 deg,,,,N/A,http://www.naoas.gov.cn/,
720,HY-2D,Ocean dynamics satellite D,"NSOAS, CAST",Operational (nominal),19-May-21,Dec-26,"Detecting ocean surface temperature, wind field, wave and topography.","ALT, RAD, SCAT","973, 967, 972",Sun-synchronous,963 km,,99.3 deg,14,06:00,,Descending,http://www.naoas.gov.cn/,
830,HY-2E,Ocean dynamics satellite E,"NSOAS, CAST",Planned,2023,2028,"Detecting ocean surface temperature, wind field, wave and topography.","ALT, RAD, SCAT","973, 967, 972",Sun-synchronous,963 km,,99.3 deg,14,06:00,,Descending,http://www.naoas.gov.cn/,
831,HY-2F,Ocean dynamics satellite F,"NSOAS, CAST",Planned,2024,2029,"Detecting ocean surface temperature, wind field, wave and topography.","ALT, RAD, SCAT","973, 967, 972",Sun-synchronous,963 km,,99.3 deg,14,06:00,,Descending,http://www.naoas.gov.cn/,
832,HY-2G,Ocean dynamics satellite G,"NSOAS, CAST",Planned,2025,2030,"Detecting ocean surface temperature, wind field, wave and topography.","ALT, RAD, SCAT","973, 967, 972",Sun-synchronous,963 km,,99.3 deg,14,06:00,,Descending,http://www.naoas.gov.cn/,
833,HY-2H,Ocean dynamics satellite H,"NSOAS, CAST",Planned,2023,2028,"Detecting ocean surface temperature, wind field, wave and topography.","ALT, RAD, SCAT","973, 967, 972",Sun-synchronous,963 km,,99.3 deg,14,06:00,,Descending,http://www.naoas.gov.cn/,
615,HY-3A,HY-3A,"NSOAS, CAST",Planned,2022,2029,"Ocean monitoring, environmental protection, coastal zone survey, etc.",WSAR,988,Sun-synchronous,,,,,,,,,
616,HY-3B,HY-3B,"NSOAS, CAST",Planned,2022,2029,"Ocean monitoring, environmental protection, coastal zone survey, etc.",WSAR,988,Sun-synchronous,,,,,,,,,
617,HY-3C,HY-3C,"NSOAS, CAST",Planned,2024,2032,"Ocean monitoring, environmental protection, coastal zone survey, etc.",WSAR,988,Sun-synchronous,,,,,,,,,
834,HY-3D,HY-3D,"NSOAS, CAST",Planned,2025,2033,"Ocean monitoring, environmental protection, coastal zone survey, etc.",WSAR,988,Sun-synchronous,,,,,,,,,
984,HydroGNSS,HydroGNSS,"ESA, UKSA",Approved,Oct-24,Oct-26,"HydroGNSS is a 40kg satellite that will be built and operated by SSTL to take measurements of key hydrological climate variables, including soil moisture, freeze thaw state over permafrost, inundation and wetlands, and above ground biomass, using a technique called GNSS Reflectometry. Knowledge of these variables helps scientists understand climate change and contributes towards weather modelling, ecology mapping, agricultural planning and flood preparedness.",GNSS Reflectometer (HydroGNSS),1957,,,,,,,,,,
